pairing,A,B,sim_id,total_payoff_A,payoff_first_A,payoff_second_A,swing_A,winrate_A
WSLS vs WSLS,WSLS,WSLS,1,6,-2,8,10,0.53
WSLS vs WSLS,WSLS,WSLS,2,-8,-2,-6,-4,0.46
WSLS vs WSLS,WSLS,WSLS,3,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,4,10,6,4,-2,0.55
WSLS vs WSLS,WSLS,WSLS,5,10,10,0,-10,0.55
WSLS vs WSLS,WSLS,WSLS,6,20,4,16,12,0.6
WSLS vs WSLS,WSLS,WSLS,7,-24,-10,-14,-4,0.38
WSLS vs WSLS,WSLS,WSLS,8,-14,-12,-2,10,0.43
WSLS vs WSLS,WSLS,WSLS,9,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,10,2,8,-6,-14,0.51
WSLS vs WSLS,WSLS,WSLS,11,-8,-8,0,8,0.46
WSLS vs WSLS,WSLS,WSLS,12,8,4,4,0,0.54
WSLS vs WSLS,WSLS,WSLS,13,2,-6,8,14,0.51
WSLS vs WSLS,WSLS,WSLS,14,-18,-16,-2,14,0.41
WSLS vs WSLS,WSLS,WSLS,15,-14,0,-14,-14,0.43
WSLS vs WSLS,WSLS,WSLS,16,8,6,2,-4,0.54
WSLS vs WSLS,WSLS,WSLS,17,10,2,8,6,0.55
WSLS vs WSLS,WSLS,WSLS,18,6,8,-2,-10,0.53
WSLS vs WSLS,WSLS,WSLS,19,-8,-10,2,12,0.46
WSLS vs WSLS,WSLS,WSLS,20,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,21,2,-8,10,18,0.51
WSLS vs WSLS,WSLS,WSLS,22,2,2,0,-2,0.51
WSLS vs WSLS,WSLS,WSLS,23,-12,-10,-2,8,0.44
WSLS vs WSLS,WSLS,WSLS,24,10,-2,12,14,0.55
WSLS vs WSLS,WSLS,WSLS,25,8,6,2,-4,0.54
WSLS vs WSLS,WSLS,WSLS,26,-2,-4,2,6,0.49
WSLS vs WSLS,WSLS,WSLS,27,-6,0,-6,-6,0.47
WSLS vs WSLS,WSLS,WSLS,28,10,-2,12,14,0.55
WSLS vs WSLS,WSLS,WSLS,29,-18,-8,-10,-2,0.41
WSLS vs WSLS,WSLS,WSLS,30,4,2,2,0,0.52
WSLS vs WSLS,WSLS,WSLS,31,4,12,-8,-20,0.52
WSLS vs WSLS,WSLS,WSLS,32,4,-8,12,20,0.52
WSLS vs WSLS,WSLS,WSLS,33,-2,-8,6,14,0.49
WSLS vs WSLS,WSLS,WSLS,34,-12,-8,-4,4,0.44
WSLS vs WSLS,WSLS,WSLS,35,12,14,-2,-16,0.56
WSLS vs WSLS,WSLS,WSLS,36,-18,-12,-6,6,0.41
WSLS vs WSLS,WSLS,WSLS,37,-12,-12,0,12,0.44
WSLS vs WSLS,WSLS,WSLS,38,-4,-8,4,12,0.48
WSLS vs WSLS,WSLS,WSLS,39,-20,0,-20,-20,0.4
WSLS vs WSLS,WSLS,WSLS,40,-8,-12,4,16,0.46
WSLS vs WSLS,WSLS,WSLS,41,0,8,-8,-16,0.5
WSLS vs WSLS,WSLS,WSLS,42,14,6,8,2,0.57
WSLS vs WSLS,WSLS,WSLS,43,2,2,0,-2,0.51
WSLS vs WSLS,WSLS,WSLS,44,4,-2,6,8,0.52
WSLS vs WSLS,WSLS,WSLS,45,6,-2,8,10,0.53
WSLS vs WSLS,WSLS,WSLS,46,4,4,0,-4,0.52
WSLS vs WSLS,WSLS,WSLS,47,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,48,-10,-4,-6,-2,0.45
WSLS vs WSLS,WSLS,WSLS,49,-2,2,-4,-6,0.49
WSLS vs WSLS,WSLS,WSLS,50,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,51,4,0,4,4,0.52
WSLS vs WSLS,WSLS,WSLS,52,-10,-10,0,10,0.45
WSLS vs WSLS,WSLS,WSLS,53,2,2,0,-2,0.51
WSLS vs WSLS,WSLS,WSLS,54,24,14,10,-4,0.62
WSLS vs WSLS,WSLS,WSLS,55,8,-2,10,12,0.54
WSLS vs WSLS,WSLS,WSLS,56,-8,2,-10,-12,0.46
WSLS vs WSLS,WSLS,WSLS,57,14,4,10,6,0.57
WSLS vs WSLS,WSLS,WSLS,58,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,59,4,-8,12,20,0.52
WSLS vs WSLS,WSLS,WSLS,60,-8,-2,-6,-4,0.46
WSLS vs WSLS,WSLS,WSLS,61,-6,6,-12,-18,0.47
WSLS vs WSLS,WSLS,WSLS,62,-14,-6,-8,-2,0.43
WSLS vs WSLS,WSLS,WSLS,63,0,0,0,0,0.5
WSLS vs WSLS,WSLS,WSLS,64,-14,-10,-4,6,0.43
WSLS vs WSLS,WSLS,WSLS,65,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,66,-10,0,-10,-10,0.45
WSLS vs WSLS,WSLS,WSLS,67,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,68,4,2,2,0,0.52
WSLS vs WSLS,WSLS,WSLS,69,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,70,8,0,8,8,0.54
WSLS vs WSLS,WSLS,WSLS,71,8,4,4,0,0.54
WSLS vs WSLS,WSLS,WSLS,72,-8,-4,-4,0,0.46
WSLS vs WSLS,WSLS,WSLS,73,4,4,0,-4,0.52
WSLS vs WSLS,WSLS,WSLS,74,10,10,0,-10,0.55
WSLS vs WSLS,WSLS,WSLS,75,6,-6,12,18,0.53
WSLS vs WSLS,WSLS,WSLS,76,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,77,6,6,0,-6,0.53
WSLS vs WSLS,WSLS,WSLS,78,-20,-2,-18,-16,0.4
WSLS vs WSLS,WSLS,WSLS,79,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,80,-8,-8,0,8,0.46
