pairing,opponent,strategy,position,sim_id,payoff_total,payoff_matcher,payoff_mismatcher,role_advantage,winrate,n_win_first,rep_win_first,n_loss_first,rep_loss_first,n_win_second,rep_win_second,n_loss_second,rep_loss_second
WSLS vs WSLS,WSLS,WSLS,A,1,6,-2,8,-10,0.53,24,11,26,16,28,19,21,6
WSLS vs WSLS,WSLS,WSLS,B,1,-6,-8,2,-10,0.47,26,13,24,13,21,12,28,16
WSLS vs WSLS,WSLS,WSLS,A,2,-8,-2,-6,4,0.46,24,13,26,12,21,13,28,14
WSLS vs WSLS,WSLS,WSLS,B,2,8,6,2,4,0.54,26,17,24,18,28,12,21,11
WSLS vs WSLS,WSLS,WSLS,A,3,0,-4,4,-8,0.5,23,10,27,17,26,15,23,18
WSLS vs WSLS,WSLS,WSLS,B,3,-0,-4,4,-8,0.5,27,18,23,15,23,6,26,14
WSLS vs WSLS,WSLS,WSLS,A,4,10,6,4,2,0.55,28,16,22,10,27,16,22,11
WSLS vs WSLS,WSLS,WSLS,B,4,-10,-4,-6,2,0.44999999999999996,22,18,28,18,22,11,27,18
WSLS vs WSLS,WSLS,WSLS,A,5,10,10,0,10,0.55,30,13,20,11,24,15,25,19
WSLS vs WSLS,WSLS,WSLS,B,5,-10,-0,-10,10,0.44999999999999996,20,10,30,15,25,15,24,19
WSLS vs WSLS,WSLS,WSLS,A,6,20,4,16,-12,0.6,27,13,23,14,33,19,16,7
WSLS vs WSLS,WSLS,WSLS,B,6,-20,-16,-4,-12,0.4,23,18,27,15,16,7,33,15
WSLS vs WSLS,WSLS,WSLS,A,7,-24,-10,-14,4,0.38,20,11,30,14,18,11,31,23
WSLS vs WSLS,WSLS,WSLS,B,7,24,14,10,4,0.62,30,19,20,12,31,17,18,9
WSLS vs WSLS,WSLS,WSLS,A,8,-14,-12,-2,-10,0.43,19,9,31,16,23,14,26,20
WSLS vs WSLS,WSLS,WSLS,B,8,14,2,12,-10,0.5700000000000001,31,15,19,11,26,12,23,11
WSLS vs WSLS,WSLS,WSLS,A,9,0,2,-2,4,0.5,26,15,24,11,24,12,25,11
WSLS vs WSLS,WSLS,WSLS,B,9,-0,2,-2,4,0.5,24,13,26,16,25,13,24,14
WSLS vs WSLS,WSLS,WSLS,A,10,2,8,-6,14,0.51,29,16,21,8,21,16,28,10
WSLS vs WSLS,WSLS,WSLS,B,10,-2,6,-8,14,0.49,21,14,29,16,28,16,21,7
WSLS vs WSLS,WSLS,WSLS,A,11,-8,-8,0,-8,0.46,21,9,29,14,24,18,25,14
WSLS vs WSLS,WSLS,WSLS,B,11,8,-0,8,-8,0.54,29,16,21,13,25,15,24,14
WSLS vs WSLS,WSLS,WSLS,A,12,8,4,4,0,0.54,27,12,23,16,27,15,22,10
WSLS vs WSLS,WSLS,WSLS,B,12,-8,-4,-4,0,0.45999999999999996,23,11,27,14,22,13,27,18
WSLS vs WSLS,WSLS,WSLS,A,13,2,-6,8,-14,0.51,22,14,28,19,28,16,21,15
WSLS vs WSLS,WSLS,WSLS,B,13,-2,-8,6,-14,0.49,28,12,22,13,21,14,28,17
WSLS vs WSLS,WSLS,WSLS,A,14,-18,-16,-2,-14,0.41,17,5,33,23,24,14,25,16
WSLS vs WSLS,WSLS,WSLS,B,14,18,2,16,-14,0.5900000000000001,33,26,17,7,25,17,24,14
WSLS vs WSLS,WSLS,WSLS,A,15,-14,0,-14,14,0.43,25,17,25,13,17,9,32,12
WSLS vs WSLS,WSLS,WSLS,B,15,14,14,-0,14,0.5700000000000001,25,17,25,17,32,14,17,9
WSLS vs WSLS,WSLS,WSLS,A,16,8,6,2,4,0.54,28,18,22,13,25,17,24,12
WSLS vs WSLS,WSLS,WSLS,B,16,-8,-2,-6,4,0.45999999999999996,22,13,28,14,24,19,25,13
WSLS vs WSLS,WSLS,WSLS,A,17,10,2,8,-6,0.55,26,9,24,15,28,15,21,17
WSLS vs WSLS,WSLS,WSLS,B,17,-10,-8,-2,-6,0.44999999999999996,24,18,26,12,21,8,28,16
WSLS vs WSLS,WSLS,WSLS,A,18,6,8,-2,10,0.53,29,17,21,15,24,13,25,13
WSLS vs WSLS,WSLS,WSLS,B,18,-6,2,-8,10,0.47,21,13,29,20,25,14,24,13
WSLS vs WSLS,WSLS,WSLS,A,19,-8,-10,2,-12,0.46,20,13,30,17,25,17,24,10
WSLS vs WSLS,WSLS,WSLS,B,19,8,-2,10,-12,0.54,30,18,20,10,24,19,25,16
WSLS vs WSLS,WSLS,WSLS,A,20,-2,0,-2,2,0.49,25,15,25,14,23,13,26,10
WSLS vs WSLS,WSLS,WSLS,B,20,2,2,-0,2,0.51,25,14,25,13,26,16,23,10
WSLS vs WSLS,WSLS,WSLS,A,21,2,-8,10,-18,0.51,21,9,29,21,30,17,19,11
WSLS vs WSLS,WSLS,WSLS,B,21,-2,-10,8,-18,0.49,29,20,21,13,19,8,30,15
WSLS vs WSLS,WSLS,WSLS,A,22,2,2,0,2,0.51,26,16,24,12,25,13,24,14
WSLS vs WSLS,WSLS,WSLS,B,22,-2,-0,-2,2,0.49,24,10,26,14,24,16,25,13
WSLS vs WSLS,WSLS,WSLS,A,23,-12,-10,-2,-8,0.44,20,13,30,22,23,13,26,14
WSLS vs WSLS,WSLS,WSLS,B,23,12,2,10,-8,0.56,30,15,20,14,26,17,23,13
WSLS vs WSLS,WSLS,WSLS,A,24,10,-2,12,-14,0.55,24,13,26,10,30,16,19,8
WSLS vs WSLS,WSLS,WSLS,B,24,-10,-12,2,-14,0.44999999999999996,26,14,24,10,19,12,30,18
WSLS vs WSLS,WSLS,WSLS,A,25,8,6,2,4,0.54,28,17,22,14,25,13,24,14
WSLS vs WSLS,WSLS,WSLS,B,25,-8,-2,-6,4,0.45999999999999996,22,12,28,11,24,17,25,17
WSLS vs WSLS,WSLS,WSLS,A,26,-2,-4,2,-6,0.49,23,14,27,15,25,13,24,12
WSLS vs WSLS,WSLS,WSLS,B,26,2,-2,4,-6,0.51,27,19,23,15,24,13,25,15
WSLS vs WSLS,WSLS,WSLS,A,27,-6,0,-6,6,0.47,25,17,25,16,22,8,27,16
WSLS vs WSLS,WSLS,WSLS,B,27,6,6,-0,6,0.53,25,14,25,15,27,18,22,12
WSLS vs WSLS,WSLS,WSLS,A,28,10,-2,12,-14,0.55,24,17,26,13,30,14,19,8
WSLS vs WSLS,WSLS,WSLS,B,28,-10,-12,2,-14,0.44999999999999996,26,17,24,18,19,12,30,20
WSLS vs WSLS,WSLS,WSLS,A,29,-18,-8,-10,2,0.41,21,12,29,16,20,10,29,18
WSLS vs WSLS,WSLS,WSLS,B,29,18,10,8,2,0.5900000000000001,29,15,21,13,29,18,20,8
WSLS vs WSLS,WSLS,WSLS,A,30,4,2,2,0,0.52,26,16,24,15,26,16,23,5
WSLS vs WSLS,WSLS,WSLS,B,30,-4,-2,-2,0,0.48,24,16,26,14,23,13,26,18
WSLS vs WSLS,WSLS,WSLS,A,31,4,12,-8,20,0.52,31,11,19,10,21,12,28,14
WSLS vs WSLS,WSLS,WSLS,B,31,-4,8,-12,20,0.48,19,10,31,16,28,18,21,10
WSLS vs WSLS,WSLS,WSLS,A,32,4,-8,12,-20,0.52,21,11,29,16,30,20,19,14
WSLS vs WSLS,WSLS,WSLS,B,32,-4,-12,8,-20,0.48,29,15,21,11,19,13,30,20
WSLS vs WSLS,WSLS,WSLS,A,33,-2,-8,6,-14,0.49,21,10,29,23,28,12,21,12
WSLS vs WSLS,WSLS,WSLS,B,33,2,-6,8,-14,0.51,29,19,21,9,21,12,28,21
WSLS vs WSLS,WSLS,WSLS,A,34,-12,-8,-4,-4,0.44,21,12,29,20,23,11,26,14
WSLS vs WSLS,WSLS,WSLS,B,34,12,4,8,-4,0.56,29,17,21,14,26,18,23,17
WSLS vs WSLS,WSLS,WSLS,A,35,12,14,-2,16,0.56,32,18,18,10,23,15,26,18
WSLS vs WSLS,WSLS,WSLS,B,35,-12,2,-14,16,0.43999999999999995,18,12,32,19,26,12,23,11
WSLS vs WSLS,WSLS,WSLS,A,36,-18,-12,-6,-6,0.41,19,9,31,19,22,13,27,17
WSLS vs WSLS,WSLS,WSLS,B,36,18,6,12,-6,0.5900000000000001,31,18,19,10,27,13,22,8
WSLS vs WSLS,WSLS,WSLS,A,37,-12,-12,0,-12,0.44,19,13,31,19,25,13,24,15
WSLS vs WSLS,WSLS,WSLS,B,37,12,-0,12,-12,0.56,31,18,19,10,24,12,25,17
WSLS vs WSLS,WSLS,WSLS,A,38,-4,-8,4,-12,0.48,21,12,29,16,26,11,23,15
WSLS vs WSLS,WSLS,WSLS,B,38,4,-4,8,-12,0.52,29,15,21,9,23,11,26,18
WSLS vs WSLS,WSLS,WSLS,A,39,-20,0,-20,20,0.4,25,15,25,9,15,10,34,22
WSLS vs WSLS,WSLS,WSLS,B,39,20,20,-0,20,0.6,25,12,25,15,34,18,15,10
WSLS vs WSLS,WSLS,WSLS,A,40,-8,-12,4,-16,0.46,19,8,31,15,27,17,22,13
WSLS vs WSLS,WSLS,WSLS,B,40,8,-4,12,-16,0.54,31,20,19,11,22,15,27,17
WSLS vs WSLS,WSLS,WSLS,A,41,0,8,-8,16,0.5,29,17,21,13,21,11,28,12
WSLS vs WSLS,WSLS,WSLS,B,41,-0,8,-8,16,0.5,21,10,29,16,28,20,21,9
WSLS vs WSLS,WSLS,WSLS,A,42,14,6,8,-2,0.57,28,13,22,7,28,15,21,14
WSLS vs WSLS,WSLS,WSLS,B,42,-14,-8,-6,-2,0.43000000000000005,22,10,28,17,21,11,28,14
