subject,mean,lo,hi,true
1,0.84413533448,0.6138003045,0.98423475775,0.85400213
2,0.842920384145,0.6059242615,0.9777718397499999,0.85400213
3,0.81261789604,0.5292132537500001,0.9750643332499999,0.85400213
4,0.84049212584,0.6154179759999999,0.9819127022499999,0.85400213
5,0.83595104695,0.5824682435,0.98079033625,0.85400213
6,0.742453042205,0.31085915875000003,0.9633635287499999,0.85400213
7,0.82344481248,0.5807323375000001,0.9751197702500001,0.85400213
8,0.83221952655,0.59615965175,0.9775016859999999,0.85400213
9,0.84844124499,0.6426768447500001,0.9832647284999999,0.85400213
10,0.84860287925,0.61269209275,0.98544648475,0.85400213
11,0.839575154815,0.59987144225,0.9785619257499999,0.85400213
12,0.78938797842,0.492100069,0.9700801844999999,0.85400213
13,0.869478300225,0.65018449125,0.98578805175,0.85400213
14,0.821643542245,0.56841866875,0.979542685,0.85400213
15,0.776352138165,0.47144526999999997,0.96186579575,0.85400213
16,0.811464283965,0.48252527050000005,0.9784607922499999,0.85400213
17,0.803461820525,0.5485914049999999,0.9675568614999999,0.85400213
18,0.81286315127,0.5645839035,0.9732841807499999,0.85400213
19,0.86279544481,0.6508729910000001,0.9872040870000001,0.85400213
20,0.84684564788,0.6328807472500001,0.9794002692499998,0.85400213
21,0.841276495265,0.6035686570000001,0.9818997455,0.85400213
22,0.81804193573,0.5639094087500001,0.9722916504999999,0.85400213
23,0.85538911762,0.6488548559999999,0.9845666292499999,0.85400213
24,0.794206524765,0.51675020525,0.9684790084999999,0.85400213
25,0.811864573795,0.5602411639999999,0.97256235775,0.85400213
