alpha,beta,lapse,subject
0.85400213,1.1659687,0.1219272,1
0.85400213,1.1659687,0.1219272,2
0.85400213,1.1659687,0.1219272,3
0.85400213,1.1659687,0.1219272,4
0.85400213,1.1659687,0.1219272,5
0.85400213,1.1659687,0.1219272,6
0.85400213,1.1659687,0.1219272,7
0.85400213,1.1659687,0.1219272,8
0.85400213,1.1659687,0.1219272,9
0.85400213,1.1659687,0.1219272,10
0.85400213,1.1659687,0.1219272,11
0.85400213,1.1659687,0.1219272,12
0.85400213,1.1659687,0.1219272,13
0.85400213,1.1659687,0.1219272,14
0.85400213,1.1659687,0.1219272,15
0.85400213,1.1659687,0.1219272,16
0.85400213,1.1659687,0.1219272,17
0.85400213,1.1659687,0.1219272,18
0.85400213,1.1659687,0.1219272,19
0.85400213,1.1659687,0.1219272,20
0.85400213,1.1659687,0.1219272,21
0.85400213,1.1659687,0.1219272,22
0.85400213,1.1659687,0.1219272,23
0.85400213,1.1659687,0.1219272,24
0.85400213,1.1659687,0.1219272,25
