trial,Self,Other,Feedback,strategy,agent_id,Memory,cumulative
1,1,0,0,WSLS,1,NA,0
2,0,0,1,WSLS,1,NA,0.5
3,0,0,1,WSLS,1,NA,0.6666666666666666
4,0,0,1,WSLS,1,NA,0.75
5,1,0,0,WSLS,1,NA,0.6
6,0,0,1,WSLS,1,NA,0.6666666666666666
7,0,0,1,WSLS,1,NA,0.7142857142857143
8,1,0,0,WSLS,1,NA,0.625
9,0,0,1,WSLS,1,NA,0.6666666666666666
10,0,0,1,WSLS,1,NA,0.7
11,0,1,0,WSLS,1,NA,0.6363636363636364
12,1,1,1,WSLS,1,NA,0.6666666666666666
13,1,1,1,WSLS,1,NA,0.6923076923076923
14,1,1,1,WSLS,1,NA,0.7142857142857143
15,1,1,1,WSLS,1,NA,0.7333333333333333
16,1,1,1,WSLS,1,NA,0.75
17,1,1,1,WSLS,1,NA,0.7647058823529411
18,1,1,1,WSLS,1,NA,0.7777777777777778
19,1,1,1,WSLS,1,NA,0.7894736842105263
20,1,1,1,WSLS,1,NA,0.8
21,0,0,1,WSLS,1,NA,0.8095238095238095
22,0,0,1,WSLS,1,NA,0.8181818181818182
23,0,0,1,WSLS,1,NA,0.8260869565217391
24,0,0,1,WSLS,1,NA,0.8333333333333334
25,0,0,1,WSLS,1,NA,0.84
26,0,0,1,WSLS,1,NA,0.8461538461538461
27,1,0,0,WSLS,1,NA,0.8148148148148148
28,0,0,1,WSLS,1,NA,0.8214285714285714
29,0,0,1,WSLS,1,NA,0.8275862068965517
30,0,0,1,WSLS,1,NA,0.8333333333333334
31,0,1,0,WSLS,1,NA,0.8064516129032258
32,1,1,1,WSLS,1,NA,0.8125
33,1,1,1,WSLS,1,NA,0.8181818181818182
34,1,1,1,WSLS,1,NA,0.8235294117647058
35,1,1,1,WSLS,1,NA,0.8285714285714286
36,1,1,1,WSLS,1,NA,0.8333333333333334
37,1,1,1,WSLS,1,NA,0.8378378378378378
38,1,1,1,WSLS,1,NA,0.8421052631578947
39,1,1,1,WSLS,1,NA,0.8461538461538461
40,1,1,1,WSLS,1,NA,0.85
41,1,0,0,WSLS,1,NA,0.8292682926829268
42,0,0,1,WSLS,1,NA,0.8333333333333334
43,0,0,1,WSLS,1,NA,0.8372093023255814
44,0,0,1,WSLS,1,NA,0.8409090909090909
45,0,0,1,WSLS,1,NA,0.8444444444444444
46,0,0,1,WSLS,1,NA,0.8478260869565217
47,0,0,1,WSLS,1,NA,0.851063829787234
48,0,0,1,WSLS,1,NA,0.8541666666666666
49,0,0,1,WSLS,1,NA,0.8571428571428571
50,0,0,1,WSLS,1,NA,0.86
51,0,1,0,WSLS,1,NA,0.8431372549019608
52,1,1,1,WSLS,1,NA,0.8461538461538461
53,1,1,1,WSLS,1,NA,0.8490566037735849
54,1,1,1,WSLS,1,NA,0.8518518518518519
55,1,1,1,WSLS,1,NA,0.8545454545454545
56,0,1,0,WSLS,1,NA,0.8392857142857143
57,1,1,1,WSLS,1,NA,0.8421052631578947
58,1,1,1,WSLS,1,NA,0.8448275862068966
59,1,1,1,WSLS,1,NA,0.847457627118644
60,1,1,1,WSLS,1,NA,0.85
61,1,0,0,WSLS,1,NA,0.8360655737704918
62,0,0,1,WSLS,1,NA,0.8387096774193549
63,0,0,1,WSLS,1,NA,0.8412698412698413
64,1,0,0,WSLS,1,NA,0.828125
65,0,0,1,WSLS,1,NA,0.8307692307692308
66,0,0,1,WSLS,1,NA,0.8333333333333334
67,0,0,1,WSLS,1,NA,0.835820895522388
68,1,0,0,WSLS,1,NA,0.8235294117647058
