T,param,subj,mean,q025,q975,true
30,.chain,NA,1.5,1,2,NA
30,.draw,NA,500.5,25.975,975.025,NA
30,.iteration,NA,250.5,13,488,NA
30,lapse,1,0.119401895653152,0.0036127744325000002,0.5287689949999996,0.0826754657354818
30,lapse,2,0.125821205586056,0.0039048229025,0.49388234799999997,0.46382642002360885
30,lapse,3,0.14875648987346,0.0041140109275,0.6048354035,0.26140456643076704
30,lapse,4,0.16325676941298,0.004750882460000001,0.7188119077499999,0.07664754388762407
30,lapse,5,0.10287157670398,0.0035725671000000005,0.3806790635,0.046579877046532644
30,lapse,6,0.10318813403598,0.0035733843025,0.3412128367499999,0.3452247389046232
30,lapse,7,0.101285720181599,0.0031452074175,0.38075315724999986,0.17389279572113583
30,lapse,8,0.117577103968827,0.00310453705,0.4507380209999999,0.1254894161961479
30,lapse,9,0.134956859206045,0.00289557497,0.5552547509999998,0.05984426871478532
30,lapse,10,0.09912496587831,0.0037104710925,0.35831676299999987,0.07293110478259496
30,lapse,11,0.10815431721415,0.0036810629225000006,0.3822197334999999,0.10843288502752892
30,lapse,12,0.082960970990128,0.0019386865499999998,0.28326384050000003,0.07947742421735453
30,lapse,13,0.19022057842938,0.00464428625,0.7714024264999999,0.4443162594034547
30,lapse,14,0.09588661058314,0.0028977241625000004,0.33175452425,0.09769479176496906
30,lapse,15,0.13208709043449,0.0034921358075,0.5255757312499998,0.3280303505050363
30,lapse,16,0.095961495638677,0.003447585305,0.344140006,0.11905711809387443
30,lapse,17,0.1311026644146477,0.004230245472500001,0.51883892825,0.3629366495271643
30,lapse,18,0.15954393272373,0.0049626248075,0.6555844352499998,0.21541965117802284
30,lapse,19,0.090439057372729,0.0037135096575000004,0.29518328775,0.08390547120784786
30,lapse,20,0.14688743893974,0.004173467625000001,0.6490914117499998,0.044445121799812165
30,lapse,21,0.1045265577655522,0.0022134912725,0.389524627,0.08754709454040213
30,lapse,22,0.156582480109747,0.004985898427500001,0.5784498657499996,0.36619412203211005
30,lapse,23,0.1055570780311531,0.0025526169500000003,0.38159658799999996,0.37337039445741477
30,lapse,24,0.11428731447735495,0.004442245345,0.4701825914999998,0.06904925328165588
30,lapse,25,0.1254483619298387,0.00420987441,0.4851115104999999,0.19417120985137604
30,lapse,26,0.101369481691041,0.0015361253275,0.37382849549999997,0.16496176832443413
30,lapse,27,0.1514087120683781,0.0042658191975,0.62405328825,0.41879473707848264
30,lapse,28,0.12181000725383791,0.0038499798775,0.44089539149999984,0.1762743213726006
30,lapse,29,0.12632862000466,0.003609199975,0.5115315207499996,0.25590547978547873
30,lapse,30,0.115982674371942,0.0032543444775,0.43049862274999967,0.3070497569014335
30,lapse,31,0.136264084183612,0.0032028029425,0.5128852534999997,0.031892203072600114
30,lapse,32,0.12991887488534,0.004160995262500001,0.50327857525,0.05569858992087012
30,lapse,33,0.081370985667228,0.0024235692975000003,0.28406063225,0.06149992604281216
30,lapse,34,0.087356260304497,0.0030320306625,0.29799759474999965,0.35976905158300576
30,lapse,35,0.108428991408301,0.0032977500200000003,0.4183770332499999,0.22877376149808548
30,lapse,36,0.1704067250686,0.0034399882800000003,0.7706704274999999,0.19917537295456386
30,lapse,37,0.09882862242442,0.0030272754075,0.357285414,0.05901586877294258
30,lapse,38,0.11371957693343,0.0038748115825,0.42283601275,0.1420425485308095
30,lapse,39,0.109786717861068,0.0029682242175000004,0.3923874565,0.19220033413741067
30,lapse,40,0.150490492787238,0.00400332042,0.6869216472499997,0.3049181296561701
30,p_loss,1,0.248650135056,0.13294161575,0.3494399222499999,0.246334432312793
30,p_loss,2,0.262762651753,0.14400604250000001,0.37321531275000003,0.041035543405714275
30,p_loss,3,0.271606565746,0.153111208,0.39791066799999997,0.2604036847649227
30,p_loss,4,0.276030124549,0.16550399675,0.40835031675,0.5036778394770708
30,p_loss,5,0.28333052562,0.17487523075,0.43306709075,0.31829370196223566
30,p_loss,6,0.27357559745,0.16661915749999998,0.40560931749999996,0.09572639299039955
30,p_loss,7,0.238352756319,0.11161841225,0.328486332,0.07732151235273263
30,p_loss,8,0.257772279665,0.156039978,0.3633777635,0.12143428540736395
30,p_loss,9,0.26564919266,0.15597933775,0.38413312924999987,0.2143482740820368
30,p_loss,10,0.272757564814,0.16967958875000003,0.39340186024999996,0.26958959239728597
30,p_loss,11,0.255715078135,0.1459592765,0.3512806432499999,0.0946087324589788
30,p_loss,12,0.260824144099,0.14813033550000002,0.36791776074999993,0.1300681393777741
30,p_loss,13,0.286420903421,0.177420705,0.45027549525,0.2255659791986506
30,p_loss,14,0.264014683986,0.15841826725000002,0.37168713575,0.3678192540452387
30,p_loss,15,0.262482004077,0.15965545150000002,0.36219218549999993,0.35533466896136334
30,p_loss,16,0.2405507997,0.11602868799999999,0.3331322525,0.2557618170259655
30,p_loss,17,0.270726085232,0.16866477124999998,0.37431189499999995,0.37948684312708364
30,p_loss,18,0.27808814211,0.163438284,0.40723072899999996,0.05685526852590866
30,p_loss,19,0.242051451631,0.12419994449999999,0.3307542435,0.18301761244031034
30,p_loss,20,0.2631707098,0.144702638,0.38704904249999994,0.26501191292694626
